YearBP, JanDiff, FebDiff, MarDiff, AprDiff, MayDiff, JunDiff, JulDiff, AugDiff, SepDiff, OctDiff, NovDiff, DecDiff
 -150000,    3.676789,    1.446968,    0.123447,    0.052219,    1.301476,    3.528507,   -6.140513,   -8.478639,   -9.846429,   -9.911348,   -8.641641,   -6.371291
 -149000,    4.312423,    1.886228,    0.206675,   -0.293220,    0.582207,    2.581829,   -5.163027,   -7.677029,   -9.382910,   -9.869669,   -8.995103,   -6.977868
 -148000,    4.774462,    2.257165,    0.284100,   -0.640141,   -0.190316,    1.492740,   -3.939528,   -6.532380,   -8.510241,   -9.400233,   -8.960348,   -7.288790
 -147000,    5.012941,    2.524736,    0.349205,   -0.962664,   -0.965066,    0.325340,   -2.534787,   -5.098784,   -7.262300,   -8.509437,   -8.514422,   -7.259071
 -146000,    4.992881,    2.659041,    0.395676,   -1.233147,   -1.683113,   -0.840952,   -1.035562,   -3.457836,   -5.704619,   -7.237517,   -7.666721,   -6.869485
 -145000,    4.700329,    2.639782,    0.418209,   -1.425074,   -2.282379,   -1.916192,    0.453354,   -1.715688,   -3.932509,   -5.658248,   -6.461120,   -6.131368
 -144000,    4.145889,    2.459889,    0.413324,   -1.516487,   -2.704194,   -2.807471,    1.816251,    0.003170,   -2.065779,   -3.874904,   -4.974017,   -5.087611
 -143000,    3.364837,    2.127399,    0.379995,   -1.493337,   -2.900795,   -3.428667,    2.936514,    1.565205,   -0.240279,   -2.012758,   -3.308437,   -3.809471
 -142000,    2.413697,    1.665074,    0.319939,   -1.351996,   -2.842416,   -3.711053,    3.708514,    2.839447,    1.402951,   -0.208994,   -1.585060,   -2.389764
 -141000,    1.364072,    1.107835,    0.237472,   -1.100278,   -2.522390,   -3.612906,    4.049777,    3.710099,    2.729723,    1.398646,    0.068355,   -0.933776
 -140000,    0.295075,    0.498641,    0.138989,   -0.756700,   -1.959038,   -3.126192,    3.911514,    4.088567,    3.624559,    2.683089,    1.527617,    0.450440
 -139000,   -0.714138,   -0.116197,    0.032182,   -0.348175,   -1.193869,   -2.278851,    3.285675,    3.923354,    4.001124,    3.537886,    2.681491,    1.660892
 -138000,   -1.590613,   -0.691381,   -0.074806,    0.093266,   -0.286545,   -1.132195,    2.207291,    3.206537,    3.810327,    3.885195,    3.439134,    2.608634
 -137000,   -2.272075,   -1.186014,   -0.174134,    0.533958,    0.692135,    0.225970,    0.751659,    1.976018,    3.045518,    3.681602,    3.735456,    3.222658
 -136000,   -2.709670,   -1.565832,   -0.258819,    0.941656,    1.667712,    1.690998,   -0.973067,    0.313253,    1.744499,    2.921849,    3.534746,    3.452978
 -135000,   -2.869439,   -1.804406,   -0.323085,    1.287777,    2.568678,    3.151909,   -2.836569,   -1.663277,   -0.011821,    1.640604,    2.833091,    3.272564
 -134000,   -2.733132,   -1.883671,   -0.362531,    1.548759,    3.331418,    4.500999,   -4.698506,   -3.808070,   -2.104208,   -0.087815,    1.659899,    2.678740
 -133000,   -2.298933,   -1.794185,   -0.374190,    1.706723,    3.903345,    5.641422,   -6.420315,   -5.960817,   -4.383166,   -2.152093,    0.078545,    1.694467
 -132000,   -1.582432,   -1.535469,   -0.356563,    1.749714,    4.244529,    6.492392,   -7.875276,   -7.959342,   -6.679838,   -4.409399,   -1.814368,    0.369520
 -131000,   -0.617849,   -1.116597,   -0.309672,    1.671833,    4.328445,    6.992289,   -8.956176,   -9.651824,   -8.818853,   -6.694011,   -3.891927,   -1.218947
 -130000,    0.540852,   -0.557067,   -0.235174,    1.473496,    4.142447,    7.100432,   -9.580619,  -10.907282,  -10.631926,   -8.828962,   -6.002887,   -2.967315
 -129000,    1.819734,    0.112317,   -0.136535,    1.161936,    3.688480,    6.798317,   -9.694575,  -11.623862,  -11.970945,  -10.640011,   -7.981313,   -4.749073
 -128000,    3.126595,    0.849012,   -0.019199,    0.751932,    2.984258,    6.091008,   -9.274975,  -11.735072,  -12.719544,  -11.970684,   -9.659765,   -6.422036
 -127000,    4.355668,    1.599462,    0.109307,    0.266549,    2.064815,    5.008931,   -8.332004,  -11.214393,  -12.802548,  -12.696884,  -10.885077,   -7.839667
 -126000,    5.396025,    2.301720,    0.239497,   -0.262510,    0.983901,    3.609846,   -6.911281,  -10.078659,  -12.192982,  -12.739545,  -11.534914,   -8.865908
 -125000,    6.143461,    2.890499,    0.360400,   -0.795486,   -0.185676,    1.980137,   -5.095481,   -8.390162,  -10.916469,  -12.074028,  -11.532776,   -9.391744
 -124000,    6.514395,    3.304576,    0.460490,   -1.286705,   -1.354004,    0.234046,   -3.004267,   -6.256837,   -9.052566,  -10.735157,  -10.859033,   -9.350677
 -123000,    6.459127,    3.495599,    0.529068,   -1.688636,   -2.419487,   -1.490784,   -0.790941,   -3.829345,   -6.732311,   -8.817047,   -9.555960,   -8.729920
 -122000,    5.971239,    3.436417,    0.557881,   -1.957760,   -3.278357,   -3.042802,    1.365766,   -1.293704,   -4.131153,   -6.467136,   -7.725542,   -7.574610
 -121000,    5.090446,    3.126697,    0.542623,   -2.061330,   -3.837710,   -4.271403,    3.275628,    1.141400,   -1.456772,   -3.874469,   -5.519996,   -5.983757
 -120000,    3.897873,    2.594036,    0.483888,   -1.983455,   -4.029914,   -5.045773,    4.756081,    3.262425,    1.067799,   -1.253144,   -3.126268,   -4.098549
 -119000,    2.504861,    1.890074,    0.387231,   -1.728687,   -3.824999,   -5.274516,    5.654333,    4.872353,    3.224251,    1.177185,   -0.746950,   -2.085421
