AgeBP, YearCE, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
 -150000,  -148050,   -4.83,   -3.70,   -0.41,   -0.17,   -3.00,   -1.44,   10.46,   26.84,   34.94,   29.13,   14.49,    1.21
 -149000,  -147050,   -5.64,   -4.72,   -0.67,    0.95,   -1.35,   -1.36,    8.22,   24.19,   33.96,   29.76,   15.32,    1.26
 -148000,  -146050,   -6.05,   -5.45,   -0.89,    2.03,    0.45,   -1.05,    5.47,   19.98,   31.22,   29.41,   16.04,    1.63
 -147000,  -145050,   -6.38,   -6.00,   -1.05,    2.94,    2.25,   -0.26,    3.15,   15.10,   26.75,   27.26,   15.67,    1.63
 -146000,  -144050,   -6.23,   -6.18,   -1.15,    3.62,    3.85,    0.74,    1.07,    9.64,   20.85,   23.87,   14.93,    1.92
 -145000,  -143050,   -5.99,   -6.13,   -1.19,    4.01,    4.99,    1.70,   -0.41,    4.53,   14.13,   18.89,   12.94,    1.75
 -144000,  -142050,   -5.25,   -5.70,   -1.15,    4.10,    5.66,    2.52,   -1.38,   -0.01,    7.18,   13.08,   10.48,    1.77
 -143000,  -141050,   -4.43,   -5.03,   -1.05,    3.88,    5.67,    2.79,   -2.12,   -3.60,    0.80,    6.74,    7.09,    1.35
 -142000,  -140050,   -3.21,   -4.02,   -0.89,    3.42,    5.24,    2.76,   -2.52,   -6.10,   -4.49,    0.69,    3.51,    0.99
 -141000,  -139050,   -1.91,   -2.78,   -0.67,    2.72,    4.30,    2.17,   -2.98,   -7.72,   -8.37,   -4.51,   -0.15,    0.38
 -140000,  -138050,   -0.42,   -1.30,   -0.40,    1.86,    3.14,    1.50,   -3.10,   -8.26,  -10.63,   -8.39,   -3.37,   -0.21
 -139000,  -137050,    1.06,    0.32,   -0.10,    0.85,    1.78,    0.69,   -3.05,   -8.02,  -11.40,  -10.65,   -5.76,   -0.72
 -138000,  -136050,    2.40,    1.98,    0.24,   -0.24,    0.41,    0.19,   -2.33,   -6.67,  -10.59,  -11.30,   -7.24,   -1.18
 -137000,  -135050,    3.59,    3.57,    0.58,   -1.40,   -0.94,   -0.00,   -0.93,   -4.31,   -8.41,  -10.34,   -7.50,   -1.28
 -136000,  -134050,    4.27,    4.86,    0.91,   -2.59,   -2.27,    0.23,    1.38,   -0.72,   -4.83,   -7.99,   -6.88,   -1.37
 -135000,  -133050,    4.67,    5.79,    1.19,   -3.73,   -3.49,    0.93,    4.61,    4.08,    0.03,   -4.38,   -5.22,   -1.07
 -134000,  -132050,    4.38,    6.12,    1.40,   -4.81,   -4.85,    1.67,    8.48,    9.96,    6.07,    0.23,   -2.96,   -0.84
 -133000,  -131050,    3.73,    5.90,    1.49,   -5.59,   -5.99,    2.62,   12.90,   16.75,   13.08,    5.65,   -0.13,   -0.41
 -132000,  -130050,    2.49,    4.99,    1.45,   -6.11,   -7.31,    2.89,   16.93,   23.86,   20.77,   11.68,    3.02,   -0.09
 -131000,  -129050,    0.97,    3.59,    1.27,   -6.08,   -8.11,    3.05,   20.57,   30.86,   28.64,   17.91,    6.25,    0.21
 -130000,  -128050,   -0.82,    1.73,    0.96,   -5.57,   -8.79,    2.02,   22.47,   36.75,   36.26,   24.28,    9.64,    0.51
 -129000,  -127050,   -2.71,   -0.34,    0.54,   -4.45,   -8.46,    1.04,   23.05,   41.02,   42.73,   29.98,   12.65,    0.63
 -128000,  -126050,   -4.44,   -2.43,    0.07,   -2.89,   -7.51,   -0.73,   21.06,   42.53,   47.58,   35.20,   15.72,    0.96
 -127000,  -125050,   -6.09,   -4.39,   -0.40,   -1.01,   -5.42,   -1.67,   17.89,   41.27,   49.74,   38.66,   17.91,    1.02
 -126000,  -124050,   -7.19,   -5.98,   -0.84,    0.96,   -2.69,   -2.32,   12.95,   36.55,   48.92,   40.77,   19.99,    1.49
 -125000,  -123050,   -8.09,   -7.22,   -1.19,    2.77,    0.50,   -1.64,    8.27,   29.55,   44.55,   40.05,   20.64,    1.57
 -124000,  -122050,   -8.26,   -7.87,   -1.43,    4.22,    3.61,   -0.25,    3.81,   20.57,   37.00,   37.19,   20.81,    2.11
 -123000,  -121050,   -8.20,   -8.11,   -1.56,    5.17,    6.11,    1.64,    0.80,   11.62,   27.03,   31.23,   19.08,    2.11
 -122000,  -120050,   -7.41,   -7.77,   -1.56,    5.59,    7.77,    3.51,   -0.99,    3.49,   15.91,   23.33,   16.49,    2.40
 -121000,  -119050,   -6.46,   -7.06,   -1.46,    5.48,    8.30,    4.58,   -1.94,   -2.76,    5.30,   13.86,   12.13,    2.04
 -120000,  -118050,   -4.93,   -5.88,   -1.27,    4.95,    7.94,    4.95,   -2.28,   -6.94,   -3.59,    4.39,    7.16,    1.73
 -119000,  -117050,   -3.31,   -4.40,   -1.01,    4.08,    6.73,    4.24,   -2.82,   -9.53,  -10.04,   -3.95,    1.71,    0.90
 -118000,  -116050,   -1.39,   -2.60,   -0.69,    3.01,    5.14,    3.14,   -3.18,  -10.55,  -13.81,  -10.20,   -3.23,    0.06
 -117000,  -115050,    0.52,   -0.62,   -0.33,    1.79,    3.28,    1.69,   -3.65,  -10.71,  -15.36,  -13.92,   -6.96,   -0.77
 -116000,  -114050,    2.31,    1.45,    0.06,    0.51,    1.53,    0.61,   -3.45,   -9.63,  -14.80,  -15.23,   -9.30,   -1.46
 -115000,  -113050,    3.90,    3.45,    0.47,   -0.82,   -0.10,    0.01,   -2.51,   -7.53,  -12.65,  -14.36,   -9.86,   -1.65
 -114000,  -112050,    4.90,    5.13,    0.87,   -2.17,   -1.55,    0.14,   -0.35,   -3.98,   -8.90,  -11.79,   -9.21,   -1.75
 -113000,  -111050,    5.50,    6.36,    1.22,   -3.47,   -2.82,    0.93,    3.01,    0.98,   -3.74,   -7.78,   -7.26,   -1.33
 -112000,  -110050,    5.25,    6.84,    1.47,   -4.70,   -4.20,    1.96,    7.31,    7.31,    2.76,   -2.70,   -4.68,   -1.03
 -111000,  -109050,    4.54,    6.64,    1.59,   -5.63,   -5.43,    3.20,   12.29,   14.74,   10.36,    3.23,   -1.49,   -0.52
 -110000,  -108050,    3.10,    5.60,    1.55,   -6.24,   -6.89,    3.64,   16.90,   22.59,   18.72,    9.78,    1.96,   -0.18
 -109000,  -107050,    1.36,    4.01,    1.35,   -6.23,   -7.85,    3.76,   20.89,   30.23,   27.26,   16.52,    5.49,    0.13
