AgeBP, YearCE, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
 -150000,  -148050,   -1.93,   -1.08,   -0.06,    0.00,    0.38,   -0.01,   -2.45,   -2.11,    3.34,    7.99,    6.37,    0.93
 -149000,  -147050,   -1.92,   -1.25,   -0.09,   -0.01,    0.13,   -0.27,   -2.62,   -2.58,    3.00,    8.43,    7.27,    1.51
 -148000,  -146050,   -1.66,   -1.28,   -0.10,   -0.01,   -0.03,   -0.26,   -2.41,   -3.03,    2.05,    8.15,    7.91,    2.24
 -147000,  -145050,   -1.34,   -1.18,   -0.10,   -0.05,   -0.14,   -0.08,   -1.81,   -3.01,    1.11,    7.31,    7.92,    2.68
 -146000,  -144050,   -0.91,   -0.98,   -0.07,   -0.14,   -0.26,    0.22,   -0.81,   -2.54,    0.02,    5.78,    7.39,    3.03
 -145000,  -143050,   -0.59,   -0.73,   -0.03,   -0.28,   -0.42,    0.52,    0.38,   -1.47,   -0.54,    4.06,    6.20,    2.90
 -144000,  -142050,   -0.31,   -0.48,    0.01,   -0.44,   -0.68,    0.65,    1.55,    0.00,   -0.65,    2.26,    4.61,    2.55
 -143000,  -141050,   -0.21,   -0.27,    0.05,   -0.60,   -0.96,    0.65,    2.49,    1.61,   -0.11,    0.90,    2.83,    1.82
 -142000,  -140050,   -0.18,   -0.16,    0.08,   -0.71,   -1.25,    0.39,    2.95,    3.00,    0.81,    0.06,    1.19,    1.06
 -141000,  -139050,   -0.18,   -0.09,    0.08,   -0.71,   -1.38,    0.10,    2.99,    3.86,    1.77,   -0.20,   -0.04,    0.33
 -140000,  -138050,   -0.06,   -0.06,    0.05,   -0.57,   -1.31,   -0.26,    2.52,    4.07,    2.52,   -0.04,   -0.76,   -0.12
 -139000,  -137050,    0.24,    0.02,    0.01,   -0.30,   -0.94,   -0.39,    1.84,    3.61,    2.72,    0.20,   -1.00,   -0.21
 -138000,  -136050,    0.74,    0.21,   -0.03,    0.09,   -0.26,   -0.32,    1.00,    2.64,    2.43,    0.42,   -0.91,   -0.03
 -137000,  -135050,    1.41,    0.51,   -0.06,    0.54,    0.69,    0.09,    0.27,    1.41,    1.68,    0.36,   -0.70,    0.37
 -136000,  -134050,    2.06,    0.94,   -0.06,    0.96,    1.80,    0.79,   -0.25,    0.19,    0.78,    0.19,   -0.51,    0.70
 -135000,  -133050,    2.55,    1.36,   -0.04,    1.30,    2.90,    1.64,   -0.53,   -0.79,   -0.00,   -0.02,   -0.38,    0.93
 -134000,  -132050,    2.67,    1.73,    0.02,    1.44,    3.83,    2.59,   -0.50,   -1.36,   -0.40,    0.01,   -0.26,    0.84
 -133000,  -131050,    2.39,    1.86,    0.07,    1.43,    4.38,    3.27,   -0.40,   -1.47,   -0.18,    0.49,   -0.02,    0.56
 -132000,  -130050,    1.66,    1.75,    0.13,    1.19,    4.49,    3.73,   -0.22,   -1.20,    0.65,    1.56,    0.51,    0.11
 -131000,  -129050,    0.64,    1.32,    0.16,    0.88,    4.10,    3.56,   -0.31,   -0.69,    2.12,    3.30,    1.43,   -0.32
 -130000,  -128050,   -0.53,    0.66,    0.15,    0.50,    3.34,    3.05,   -0.64,   -0.28,    3.82,    5.58,    2.86,   -0.53
 -129000,  -127050,   -1.63,   -0.13,    0.09,    0.22,    2.36,    2.02,   -1.40,   -0.09,    5.61,    8.21,    4.67,   -0.49
 -128000,  -126050,   -2.44,   -0.90,    0.01,    0.03,    1.39,    0.98,   -2.35,   -0.56,    6.76,   10.74,    6.88,    0.08
 -127000,  -125050,   -2.90,   -1.52,   -0.07,   -0.01,    0.63,   -0.02,   -3.33,   -1.36,    7.30,   12.81,    8.99,    0.87
