AgeBP, YearCE, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
 -150000,  -148050,    4.48,    3.18,    0.35,    0.14,    2.36,    0.82,   -9.04,  -22.94,  -29.37,  -23.95,  -11.73,   -0.47
 -149000,  -147050,    5.78,    4.23,    0.57,   -0.78,    1.01,    0.51,   -7.84,  -21.51,  -28.96,  -24.18,  -11.57,    0.47
 -148000,  -146050,    6.89,    5.17,    0.77,   -1.66,   -0.33,    0.34,   -5.89,  -18.69,  -27.38,  -24.02,  -11.57,    1.11
 -147000,  -145050,    7.96,    6.02,    0.96,   -2.45,   -1.61,    0.07,   -3.83,  -14.96,  -24.35,  -22.68,  -11.03,    1.89
 -146000,  -144050,    8.49,    6.62,    1.10,   -3.12,   -2.79,   -0.20,   -1.50,  -10.20,  -19.92,  -20.62,  -10.71,    2.00
 -145000,  -143050,    8.67,    6.94,    1.19,   -3.59,   -3.70,   -0.45,    0.64,   -5.10,  -14.21,  -17.08,   -9.66,    2.06
 -144000,  -142050,    8.03,    6.81,    1.22,   -3.89,   -4.43,   -0.78,    2.44,    0.01,   -7.65,  -12.54,   -8.46,    1.39
 -143000,  -141050,    6.87,    6.24,    1.17,   -3.90,   -4.72,   -0.93,    3.85,    4.51,   -0.90,   -6.85,   -6.23,    0.85
 -142000,  -140050,    4.98,    5.12,    1.04,   -3.66,   -4.75,   -1.17,    4.54,    7.90,    5.26,   -0.75,   -3.40,    0.12
 -141000,  -139050,    2.85,    3.57,    0.81,   -3.08,   -4.26,   -1.12,    4.84,   10.08,   10.15,    5.13,    0.16,   -0.09
 -140000,  -138050,    0.59,    1.65,    0.50,   -2.22,   -3.44,   -1.10,    4.41,   10.64,   13.17,    9.99,    3.91,    0.17
 -139000,  -137050,   -1.37,   -0.40,    0.12,   -1.06,   -2.14,   -0.78,    3.68,    9.96,   14.17,   13.10,    7.20,    0.90
 -138000,  -136050,   -2.76,   -2.36,   -0.29,    0.30,   -0.54,   -0.42,    2.38,    7.83,   13.00,   14.15,    9.61,    2.07
 -137000,  -135050,   -3.62,   -4.02,   -0.69,    1.78,    1.33,    0.08,    0.83,    4.75,   10.05,   13.00,   10.43,    2.97
 -136000,  -134050,   -3.70,   -5.13,   -1.04,    3.27,    3.36,    0.65,   -1.06,    0.73,    5.54,    9.92,    9.79,    3.73
 -135000,  -133050,   -3.52,   -5.71,   -1.31,    4.57,    5.25,    1.09,   -3.25,   -3.90,   -0.04,    5.31,    7.52,    3.61
 -134000,  -132050,   -2.83,   -5.60,   -1.44,    5.61,    7.08,    1.63,   -5.49,   -8.86,   -6.25,   -0.27,    4.19,    3.03
 -133000,  -131050,   -2.20,   -5.05,   -1.45,    6.18,    8.33,    1.76,   -8.02,  -14.09,  -12.71,   -6.25,    0.18,    1.76
 -132000,  -130050,   -1.35,   -4.01,   -1.33,    6.31,    9.27,    2.07,  -10.22,  -19.08,  -18.99,  -12.13,   -3.93,    0.36
 -131000,  -129050,   -0.53,   -2.76,   -1.10,    5.88,    9.32,    1.81,  -12.55,  -23.91,  -24.86,  -17.42,   -7.59,   -0.96
 -130000,  -128050,    0.47,   -1.30,   -0.79,    5.04,    8.96,    1.88,  -14.02,  -27.87,  -30.00,  -22.00,  -10.60,   -1.90
 -129000,  -127050,    1.74,    0.25,   -0.44,    3.79,    7.71,    1.41,  -15.23,  -31.10,  -34.20,  -25.46,  -12.48,   -2.04
 -128000,  -126050,    3.24,    1.84,   -0.06,    2.34,    6.14,    1.35,  -15.00,  -32.74,  -37.34,  -28.16,  -13.64,   -1.63
 -127000,  -125050,    5.14,    3.47,    0.31,    0.78,    4.04,    0.89,  -14.16,  -32.88,  -38.96,  -29.60,  -13.65,   -0.31
 -126000,  -124050,    7.09,    5.03,    0.66,   -0.73,    1.87,    0.76,  -11.72,  -30.69,  -39.01,  -30.50,  -13.54,    1.12
 -125000,  -123050,    9.18,    6.55,    0.98,   -2.11,   -0.33,    0.36,   -8.75,  -26.53,  -36.79,  -29.96,  -12.72,    2.94
 -124000,  -122050,   10.78,    7.80,    1.24,   -3.29,   -2.35,    0.06,   -4.94,  -20.08,  -32.27,  -28.66,  -12.40,    3.98
 -123000,  -121050,   11.91,    8.75,    1.44,   -4.20,   -4.00,   -0.31,   -1.27,  -12.40,  -25.16,  -25.28,  -11.50,    4.70
 -122000,  -120050,   11.89,    9.13,    1.56,   -4.84,   -5.32,   -0.78,    2.01,   -4.10,  -16.01,  -20.32,  -10.83,    4.08
 -121000,  -119050,   10.91,    8.88,    1.58,   -5.11,   -6.05,   -1.07,    4.60,    3.53,   -5.75,  -13.07,   -8.88,    3.11
 -120000,  -118050,    8.62,    7.82,    1.48,   -5.04,   -6.41,   -1.49,    6.06,    9.58,    4.21,   -4.52,   -6.04,    1.44
 -119000,  -117050,    5.66,    6.03,    1.25,   -4.52,   -6.08,   -1.54,    6.83,   13.66,   12.49,    4.40,   -1.65,    0.37
 -118000,  -116050,    2.26,    3.59,    0.89,   -3.63,   -5.33,   -1.65,    6.49,   15.24,   17.98,   12.24,    3.54,   -0.02
