AgeBP, YearCE, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
 -150000,  -148050,   -4.76,   -8.06,   -6.22,    5.26,   21.93,   34.08,   34.76,   23.88,    9.02,   -1.05,   -3.35,   -2.75
 -149000,  -147050,   -4.56,   -8.69,   -8.48,    1.50,   18.14,   31.99,   35.18,   26.27,   11.81,    0.83,   -2.52,   -2.34
 -148000,  -146050,   -5.22,  -11.31,  -13.58,   -5.62,   11.08,   27.74,   35.38,   30.50,   17.76,    5.96,    0.47,   -1.33
 -147000,  -145050,   -4.33,  -10.94,  -14.90,   -9.33,    5.85,   22.89,   32.62,   30.36,   19.27,    7.63,    1.58,   -0.50
 -146000,  -144050,   -4.25,  -12.22,  -18.35,  -15.44,   -1.79,   16.22,   29.36,   31.44,   23.34,   12.20,    4.70,    0.88
 -145000,  -143050,   -2.69,  -10.47,  -17.80,  -17.60,   -6.81,    9.80,   23.69,   28.11,   22.46,   12.66,    5.46,    1.85
 -144000,  -142050,   -2.06,  -10.31,  -18.90,  -21.22,  -13.11,    2.44,   17.84,   25.77,   23.65,   15.61,    7.99,    3.21
 -143000,  -141050,   -0.11,   -7.21,  -15.97,  -20.57,  -16.04,   -3.64,   10.56,   19.61,   19.88,   14.05,    7.74,    3.87
 -142000,  -140050,    0.60,   -5.94,  -14.62,  -20.78,  -19.19,   -9.46,    3.99,   14.74,   18.06,   14.69,    9.03,    4.68
 -141000,  -139050,    2.44,   -1.96,   -9.44,  -16.71,  -18.57,  -13.14,   -2.88,    7.07,   11.85,   10.88,    7.29,    4.59
 -140000,  -138050,    2.63,   -0.37,   -6.26,  -13.45,  -17.49,  -15.44,   -7.89,    1.50,    7.90,    9.23,    6.97,    4.42
 -139000,  -137050,    3.82,    3.68,    0.34,   -6.28,  -12.70,  -15.15,  -12.26,   -5.72,    0.52,    3.65,    3.73,    3.28
 -138000,  -136050,    2.99,    4.59,    4.08,   -0.48,   -7.38,  -12.80,  -13.72,   -9.86,   -3.96,    0.51,    1.95,    1.98
 -137000,  -135050,    3.14,    7.75,   10.73,    8.52,    1.05,   -7.99,  -14.10,  -14.72,  -10.80,   -5.77,   -2.32,   -0.16
 -136000,  -134050,    1.07,    7.09,   13.39,   15.02,    9.35,   -1.06,  -10.91,  -15.59,  -13.99,   -9.14,   -4.93,   -2.38
 -135000,  -133050,    0.14,    8.63,   18.53,   23.83,   19.73,    7.54,   -6.84,  -16.76,  -18.72,  -14.80,   -9.44,   -5.13
 -134000,  -132050,   -2.96,    5.95,   18.63,   28.68,   28.66,   17.58,    0.87,  -13.37,  -19.10,  -17.04,  -11.96,   -7.74
 -133000,  -131050,   -4.67,    5.62,   21.02,   35.09,   38.42,   27.97,    8.54,  -10.51,  -20.68,  -20.92,  -15.81,  -10.51
 -132000,  -130050,   -8.21,    1.15,   17.78,   36.17,   45.06,   38.45,   19.22,   -3.02,  -17.48,  -20.95,  -17.34,  -12.84
 -131000,  -129050,  -10.09,   -0.67,   17.01,   38.46,   51.49,   47.76,   28.40,    3.04,  -15.68,  -22.35,  -19.78,  -14.97
 -130000,  -128050,  -13.33,   -6.09,   10.73,   34.68,   53.24,   55.43,   39.34,   13.22,   -9.04,  -19.60,  -19.62,  -16.36
 -129000,  -127050,  -14.65,   -8.49,    7.41,   32.36,   54.33,   60.66,   47.09,   20.53,   -4.60,  -18.39,  -20.20,  -17.32
 -128000,  -126050,  -16.83,  -13.68,   -0.58,   24.16,   49.96,   62.73,   55.01,   30.92,    4.32,  -12.98,  -18.00,  -17.29
 -127000,  -125050,  -16.94,  -15.50,   -4.96,   18.23,   45.32,   61.90,   58.45,   36.80,    9.75,   -9.74,  -16.67,  -16.74
 -126000,  -124050,  -17.53,  -19.26,  -12.76,    7.55,   35.55,   57.17,   60.65,   44.42,   18.87,   -2.55,  -12.53,  -15.06
 -125000,  -123050,  -16.01,  -19.44,  -16.34,    0.22,   26.66,   50.15,   57.99,   46.31,   23.09,    1.49,   -9.69,  -12.97
 -124000,  -122050,  -14.78,  -20.91,  -22.05,  -10.18,   14.02,   39.66,   53.48,   48.75,   29.95,    8.92,   -4.25,   -9.78
 -123000,  -121050,  -11.56,  -18.79,  -23.16,  -16.22,    3.80,   28.39,   44.90,   45.16,   30.84,   12.07,   -0.80,   -6.49
 -122000,  -120050,   -8.73,  -17.68,  -25.47,  -23.67,   -8.21,   15.16,   34.98,   41.65,   33.46,   17.85,    4.82,   -2.35
 -121000,  -119050,   -4.21,  -13.17,  -23.12,  -26.13,  -16.41,    3.03,   22.71,   32.98,   29.92,   18.53,    7.66,    1.41
 -120000,  -118050,   -0.52,   -9.90,  -21.64,  -28.83,  -24.51,   -9.02,   10.54,   24.84,   27.74,   21.16,   12.08,    5.54
 -119000,  -117050,    4.39,   -3.68,  -15.85,  -26.47,  -27.97,  -18.31,   -1.89,   13.29,   20.23,   18.54,   13.11,    8.71
 -118000,  -116050,    7.78,    0.57,  -11.32,  -23.99,  -30.09,  -25.66,  -12.37,    3.51,   14.42,   17.59,   15.22,   11.69
 -117000,  -115050,   11.88,    7.15,   -3.20,  -16.99,  -27.51,  -29.32,  -21.39,   -7.68,    4.87,   12.05,   13.82,   13.26
 -116000,  -114050,   13.68,   10.67,    2.57,  -10.46,  -23.32,  -29.92,  -26.83,  -15.60,   -2.05,    8.43,   13.30,   14.21
 -115000,  -113050,   15.86,   15.90,   10.97,   -0.52,  -15.22,  -26.86,  -29.94,  -23.35,  -11.01,    1.45,    9.73,   13.69
 -114000,  -112050,   15.26,   17.00,   15.50,    7.51,   -6.31,  -20.61,  -28.57,  -26.56,  -16.22,   -2.96,    7.25,   12.44
 -113000,  -111050,   15.03,   19.47,   21.81,   17.58,    5.01,  -11.79,  -25.08,  -28.90,  -22.21,   -9.45,    2.58,   10.07
 -112000,  -110050,   12.05,   17.25,   22.84,   23.82,   15.42,   -0.72,  -17.14,  -26.06,  -23.57,  -12.62,   -0.52,    7.26
 -111000,  -109050,    9.84,   16.58,   25.33,   30.98,   26.46,   11.09,   -8.35,  -22.69,  -25.23,  -16.97,   -4.95,    3.93
