AgeBP, YearCE, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
 -150000,  -148050,  -31.61,  -25.25,  -10.23,    9.86,   27.16,   36.91,   37.70,   29.15,   12.85,   -6.43,  -21.84,  -30.07
 -149000,  -147050,  -32.50,  -28.79,  -15.75,    3.88,   22.54,   34.94,   38.85,   33.16,   18.56,   -0.74,  -17.72,  -28.26
 -148000,  -146050,  -32.39,  -31.80,  -21.10,   -2.31,   17.15,   31.41,   37.92,   35.48,   23.84,    5.97,  -11.82,  -24.86
 -147000,  -145050,  -30.49,  -32.81,  -25.11,   -8.34,   10.92,   26.71,   35.92,   36.73,   27.95,   11.66,   -6.23,  -20.66
 -146000,  -144050,  -27.37,  -32.67,  -28.05,  -13.68,    4.58,   20.74,   31.66,   35.59,   30.66,   17.46,    0.53,  -15.06
 -145000,  -143050,  -22.78,  -30.48,  -29.21,  -18.10,   -1.71,   14.38,   26.79,   33.43,   31.73,   21.40,    6.07,   -9.35
 -144000,  -142050,  -17.22,  -26.93,  -28.66,  -20.91,   -7.15,    7.53,   20.05,   28.72,   30.70,   24.44,   11.84,   -2.90
 -143000,  -141050,  -10.90,  -21.70,  -26.31,  -22.33,  -11.75,    1.20,   13.57,   23.53,   28.08,   25.10,   15.48,    2.72
 -142000,  -140050,   -4.37,  -15.45,  -22.04,  -21.49,  -14.58,   -4.59,    6.09,   16.27,   23.23,   24.18,   18.38,    8.10
 -141000,  -139050,    1.99,   -8.32,  -16.45,  -19.28,  -16.12,   -9.07,   -0.16,    9.48,   17.44,   20.97,   18.64,   11.80
 -140000,  -138050,    7.45,   -1.03,   -9.33,  -14.62,  -15.25,  -12.09,   -6.31,    1.60,    9.98,   16.09,   17.51,   14.23
 -139000,  -137050,   11.87,    6.09,   -1.80,   -9.15,  -13.15,  -13.37,  -10.46,   -4.78,    2.61,    9.66,   13.89,   14.54
 -138000,  -136050,   14.29,   12.16,    6.33,   -1.61,   -8.49,  -12.59,  -13.54,  -11.08,   -5.37,    2.15,    8.85,   12.95
