AgeBP, YearCE, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
 -150000,  -148050,  -47.05,  -29.92,   -8.28,    8.18,   15.63,   17.78,   18.53,   17.15,    9.12,   -8.66,  -31.88,  -48.45
 -149000,  -147050,  -48.92,  -34.76,  -13.90,    3.68,   13.01,   16.99,   19.49,   20.18,   14.31,   -2.16,  -26.18,  -45.98
 -148000,  -146050,  -47.66,  -36.11,  -16.31,    1.63,   11.64,   15.84,   18.39,   19.82,   15.96,    2.01,  -20.77,  -41.73
 -147000,  -145050,  -45.81,  -38.22,  -20.71,   -2.98,    8.18,   13.86,   17.95,   21.42,   20.17,    8.78,  -13.00,  -35.76
 -146000,  -144050,  -40.55,  -36.29,  -21.37,   -4.78,    6.15,   11.64,   15.44,   19.28,   20.07,   12.22,   -6.32,  -28.27
 -145000,  -143050,  -35.15,  -35.10,  -23.62,   -8.60,    2.49,    8.88,   13.76,   19.14,   22.36,   17.75,    1.89,  -19.88
 -144000,  -142050,  -26.55,  -29.60,  -21.68,   -9.22,    0.58,    6.16,   10.22,   15.25,   19.83,   18.88,    7.77,  -10.84
 -143000,  -141050,  -18.78,  -25.34,  -21.33,  -11.53,   -2.57,    3.25,    7.82,   13.60,   19.78,   21.79,   14.33,   -2.04
 -142000,  -140050,   -8.61,  -16.94,  -16.58,  -10.31,   -3.64,    0.72,    3.95,    8.54,   14.85,   19.59,   17.27,    6.06
 -141000,  -139050,   -0.61,  -10.81,  -13.91,  -10.80,   -5.71,   -1.69,    1.54,    6.07,   12.75,   19.25,   20.40,   12.80
 -140000,  -138050,    8.58,   -1.17,   -6.93,   -7.57,   -5.46,   -3.40,   -1.87,    0.81,    6.25,   13.69,   18.98,   17.44
 -139000,  -137050,   14.31,    4.89,   -2.96,   -6.45,   -6.22,   -4.83,   -3.58,   -1.51,    3.08,   10.51,   17.84,   20.03
 -138000,  -136050,   19.94,   13.47,    4.89,   -1.64,   -4.53,   -5.37,   -5.89,   -5.94,   -3.64,    2.72,   12.02,   19.54
 -137000,  -135050,   21.31,   17.23,    8.60,    0.37,   -4.11,   -5.62,   -6.38,   -7.16,   -6.51,   -1.95,    7.18,   17.09
 -136000,  -134050,   21.68,   22.51,   15.53,    5.84,   -1.26,   -4.91,   -7.26,   -9.95,  -11.99,  -10.12,   -1.63,   11.43
 -135000,  -133050,   17.88,   22.26,   17.30,    7.66,   -0.14,   -4.08,   -6.33,   -9.41,  -13.24,  -14.39,   -8.40,    4.66
 -134000,  -132050,   12.93,   22.81,   21.59,   12.56,    3.26,   -2.37,   -5.79,  -10.15,  -16.32,  -20.91,  -17.81,   -4.55
 -133000,  -131050,    4.77,   17.98,   20.17,   13.08,    4.40,   -0.81,   -3.57,   -7.60,  -15.03,  -22.97,  -24.10,  -13.50
 -132000,  -130050,   -3.82,   13.87,   20.81,   16.25,    7.55,    1.41,   -1.96,   -6.41,  -15.17,  -26.26,  -31.52,  -23.48
 -131000,  -129050,  -14.12,    5.37,   15.92,   14.69,    7.99,    3.15,    1.11,   -2.12,  -11.06,  -24.87,  -35.03,  -31.82
 -130000,  -128050,  -23.54,   -1.83,   13.02,   15.47,   10.16,    5.25,    3.16,    0.40,   -8.49,  -24.18,  -38.43,  -39.59
 -129000,  -127050,  -33.09,  -11.92,    5.50,   11.68,    9.39,    6.59,    6.41,    5.69,   -2.04,  -19.03,  -37.63,  -44.69
 -128000,  -126050,  -40.29,  -19.63,    0.37,   10.16,   10.12,    7.96,    8.12,    8.48,    2.21,  -14.72,  -36.10,  -47.92
 -127000,  -125050,  -46.46,  -28.71,   -8.07,    4.76,    8.03,    8.43,   10.79,   13.66,    9.73,   -6.59,  -30.65,  -48.11
 -126000,  -124050,  -49.07,  -34.23,  -13.37,    1.84,    7.36,    8.72,   11.47,   15.50,   13.97,   -0.18,  -24.63,  -45.75
