   AgeBP,  JanDays     , FebDays     , MarDays     , AprDays     , MayDays     , JunDays     , JulDays     , AugDays     , SepDays     , OctDays     , NovDays     , DecDays     , JanMid      , FebMid      , MarMid      , AprMid      , MayMid      , JunMid      , JulMid      , AugMid      , SepMid      , OctMid      , NovMid      , DecMid      , JanBeg      , FebBeg      , MarBeg      , AprBeg      , MayBeg      , JunBeg      , JulBeg      , AugBeg      , SepBeg      , OctBeg      , NovBeg      , DecBeg      , JanEnd      , FebEnd      , MarEnd      , AprEnd      , MayEnd      , JunEnd      , JulEnd      , AugEnd      , SepEnd      , OctEnd      , NovEnd      , De,    "JanColor ",    "FebColor ",    "MarColor ",    "AprColor ",    "MayColor ",    "JunColor ",    "JulColor ",    "AugColor ",    "SepColor ",    "OctColor ",    "NovColor ",    "DecColor "
 -150000,    33.639974,    29.744735,    31.727988,    29.360245,    29.169507,    27.573077,    28.455494,    29.076924,    29.233513,    31.591793,    31.799790,    33.626960,    11.823211,    43.553032,    74.376553,   104.947781,   134.198524,   162.471493,   190.359487,   219.021361,   248.153571,   278.588652,   310.358359,   343.128709,    -5.025499,    28.577176,    58.321091,    90.086241,   119.484462,   148.655960,   176.192377,   204.606734,   233.679592,   262.948079,   294.579965,   326.383330,    28.577176,    58.321091,    90.086241,   119.484462,   148.655960,   176.192377,   204.606734,   233.679592,   262.948079,   294.579965,   326.383330,   359.974501,         "Purple",         "Purple",  "Easter Purple",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",    "Pale Yellow",  "Easter Purple",         "Purple",         "Purple"
 -149000,    33.738390,    30.024080,    32.151156,    29.765475,    29.477103,    27.699556,    28.384583,    28.815753,    28.851906,    31.159062,    31.460845,    33.472093,    11.187577,    43.113772,    74.293325,   105.293220,   134.917793,   163.418171,   191.336973,   219.822971,   248.617090,   278.630331,   310.004897,   342.522132,    -5.677996,    28.019846,    58.036497,    90.220710,   120.027169,   149.513288,   177.180169,   205.520960,   234.325704,   263.208246,   294.409939,   325.881322,    28.019846,    58.036497,    90.220710,   120.027169,   149.513288,   177.180169,   205.520960,   234.325704,   263.208246,   294.409939,   325.881322,   359.322004,         "Purple",         "Purple",   "Light Purple",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",         "Orange",    "Deep Yellow",  "Easter Purple",         "Purple",         "Purple"
 -148000,    33.713887,    30.220679,    32.539860,    30.197411,    29.859210,    27.922247,    28.415945,    28.638767,    28.515191,    30.718027,    31.055449,    33.203329,    10.725538,    42.742835,    74.215900,   105.640141,   135.690316,   164.507260,   192.560472,   220.967620,   249.489759,   279.099767,   310.039652,   342.211210,    -6.094729,    27.577112,    57.783848,    90.351014,   120.590781,   150.465934,   178.360944,   206.732151,   235.353350,   263.893579,   294.654987,   325.727514,    27.577112,    57.783848,    90.351014,   120.590781,   150.465934,   178.360944,   206.732151,   235.353350,   263.893579,   294.654987,   325.727514,   358.905271,         "Purple",         "Purple",   "Light Purple",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",    "Pale Yellow",         "Purple",         "Purple"
 -147000,    33.560455,    30.312246,    32.860917,    30.627066,    30.296657,    28.234765,    28.554550,    28.561386,    28.246928,    30.298594,    30.610652,    32.835783,    10.487059,    42.475264,    74.150795,   105.962664,   136.465066,   165.674660,   193.965213,   222.401216,   250.737700,   279.990563,   310.485578,   342.240929,    -6.225573,    27.293329,    57.585735,    90.466833,   121.135705,   151.454623,   179.668793,   208.179535,   236.717612,   264.983050,   295.323894,   325.957272,    27.293329,    57.585735,    90.466833,   121.135705,   151.454623,   179.668793,   208.179535,   236.717612,   264.983050,   295.323894,   325.957272,   358.774427,         "Purple",         "Purple",         "Purple",  "Easter Purple",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",         "Orange",         "Orange",    "Pale Yellow",   "Light Purple",         "Purple"
 -146000,    33.283463,    30.283921,    33.082754,    31.021124,    30.763049,    28.623775,    28.799323,    28.594171,    28.067347,    29.929954,    30.157341,    32.393777,    10.507119,    42.340959,    74.104324,   106.233147,   137.183113,   166.840952,   195.464438,   224.042164,   252.295381,   281.262483,   311.333279,   342.630515,    -6.041070,    27.203412,    57.462741,    90.557628,   121.617925,   152.408406,   181.019062,   209.777440,   238.343782,   266.422564,   296.391787,   326.576196,    27.203412,    57.462741,    90.557628,   121.617925,   152.408406,   181.019062,   209.777440,   238.343782,   266.422564,   296.391787,   326.576196,   358.958930,         "Purple",         "Purple",         "Purple",  "Easter Purple",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",         "Orange",    "Deep Yellow",  "Easter Purple",         "Purple"
 -145000,    32.899860,    30.131014,    33.179522,    31.344729,    31.225592,    29.068472,    29.142180,    28.741832,    27.992125,    29.638549,    29.727559,    31.908565,    10.799671,    42.360218,    74.081791,   106.425074,   137.782379,   167.916192,   196.953354,   225.784312,   254.067491,   282.841752,   312.538880,   343.368632,    -5.538154,    27.327283,    57.430579,    90.613864,   121.993073,   153.249594,   182.312774,   211.418741,   240.129796,   268.126162,   297.799293,   327.556630,    27.327283,    57.430579,    90.613864,   121.993073,   153.249594,   182.312774,   211.418741,   240.129796,   268.126162,   297.799293,   327.556630,   359.461846,         "Purple",         "Purple",         "Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",         "Orange",    "Deep Yellow",    "Pale Yellow",   "Light Purple"
 -144000,    32.436672,    29.860436,    33.135094,    31.565328,    31.647123,    29.540698,    29.567262,    29.002321,    28.031401,    29.446455,    29.351938,    31.415272,    11.354111,    42.540111,    74.086676,   106.516487,   138.204194,   168.807471,   198.316251,   227.503170,   255.934221,   284.625096,   314.025983,   344.412389,    -4.742610,    27.665913,    57.497488,    90.628359,   122.221641,   153.901081,   183.444093,   212.981539,   241.951983,   269.980760,   299.455651,   328.838216,    27.665913,    57.497488,    90.628359,   122.221641,   153.901081,   183.444093,   212.981539,   241.951983,   269.980760,   299.455651,   328.838216,   360.257390,         "Purple",         "Purple",         "Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",    "Pale Yellow",   "Light Purple"
 -143000,    31.928127,    29.490402,    32.946033,    31.657021,    31.989427,    30.006036,    30.050582,    29.366008,    28.188957,    29.370179,    29.057584,    30.949644,    12.135163,    42.872601,    74.120005,   106.493337,   138.400795,   169.428667,   199.436514,   229.065205,   257.759721,   286.487242,   315.691563,   345.690529,    -3.707568,    28.199970,    57.662538,    90.597470,   122.274537,   154.295274,   184.310386,   214.338872,   243.673935,   271.854179,   301.245519,   330.332609,    28.199970,    57.662538,    90.597470,   122.274537,   154.295274,   184.310386,   214.338872,   243.673935,   271.854179,   301.245519,   330.332609,   361.292432,   "Light Purple",         "Purple",         "Purple",   "Light Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",         "Orange",    "Deep Yellow",  "Easter Purple"
 -142000,    31.412063,    29.048448,    32.622776,    31.604582,    32.217587,    30.426125,    30.560382,    29.815063,    28.461481,    29.419794,    28.866536,    30.545162,    13.086303,    43.334926,    74.180061,   106.351996,   138.342416,   169.711053,   200.208514,   230.339447,   259.402951,   288.291006,   317.414940,   347.110236,    -2.508285,    28.891488,    57.915282,    90.521838,   122.137802,   154.383228,   184.823734,   215.370579,   245.157735,   273.605624,   303.038585,   331.931540,    28.891488,    57.915282,    90.521838,   122.137802,   154.383228,   184.823734,   215.370579,   245.157735,   273.605624,   303.038585,   331.931540,   362.491715,  "Easter Purple",   "Light Purple",   "Light Purple",   "Light Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",    "Pale Yellow"
 -141000,    30.926337,    28.568265,    32.188697,    31.406210,    32.304720,    30.762225,    31.058536,    30.323249,    28.837908,    29.598254,    28.794762,    30.230837,    14.135928,    43.892165,    74.262528,   106.100278,   138.022390,   169.612906,   200.549777,   231.210099,   260.729723,   289.898646,   319.068355,   348.566224,    -1.234328,    29.688143,    58.236873,    90.406477,   121.815391,   154.142187,   184.922105,   215.975908,   246.276332,   275.097382,   304.700562,   333.516808,    29.688143,    58.236873,    90.406477,   121.815391,   154.142187,   184.922105,   215.975908,   246.276332,   275.097382,   304.700562,   333.516808,   363.765672,  "Easter Purple",   "Light Purple",   "Light Purple",   "Light Purple",  "Easter Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",         "Orange",    "Deep Yellow"
