   AgeBP,   YearCE, JanDays, FebDays, MarDays, AprDays, MayDays, JunDays, JulDays, AugDays, SepDays, OctDays, NovDays, DecDays, JanMid , FebMid , MarMid , AprMid , MayMid , JunMid , JulMid , AugMid , SepMid , OctMid , NovMid , DecMid , JanBeg , FebBeg , MarBeg , AprBeg , MayBeg , JunBeg , JulBeg , AugBeg , SepBeg , OctBeg , NovBeg , DecBeg , JanEnd , FebEnd , MarEnd , AprEnd , MayEnd , JunEnd , JulEnd , AugEnd , SepEnd , OctEnd , NovEnd , DecEnd , VE_day , SS_day , ndays
   -6000,     1850,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.938, 172.808,  365
   -6000,     1851,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  80.180, 173.049,  365
   -6000,     1852,      32,      31,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      75,     106,     137,     167,     197,     226,     255,     285,     315,     346,      -4,      28,      59,      91,     122,     153,     182,     212,     241,     270,     300,     330,      27,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,     361,  80.422, 173.291,  366
   -6000,     1853,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.665, 172.533,  365
   -6000,     1854,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.908, 172.774,  365
   -6000,     1855,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  80.150, 173.016,  365
   -6000,     1856,      32,      31,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      75,     106,     137,     167,     197,     226,     255,     285,     315,     346,      -4,      28,      59,      91,     122,     153,     182,     212,     241,     270,     300,     330,      27,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,     361,  80.392, 173.258,  366
   -6000,     1857,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.635, 172.500,  365
   -6000,     1858,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.878, 172.742,  365
   -6000,     1859,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  80.120, 172.983,  365
   -6000,     1860,      32,      31,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      75,     106,     137,     167,     197,     226,     255,     285,     315,     346,      -4,      28,      59,      91,     122,     153,     182,     212,     241,     270,     300,     330,      27,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,     361,  80.362, 173.225,  366
   -6000,     1861,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.605, 172.467,  365
   -6000,     1862,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.847, 172.708,  365
   -6000,     1863,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  80.090, 172.951,  365
   -6000,     1864,      32,      31,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      75,     106,     137,     167,     197,     226,     255,     285,     315,     346,      -4,      28,      59,      91,     122,     153,     182,     212,     241,     270,     300,     330,      27,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,     361,  80.333, 173.192,  366
   -6000,     1865,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.575, 172.434,  365
   -6000,     1866,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.817, 172.676,  365
   -6000,     1867,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  80.060, 172.917,  365
   -6000,     1868,      32,      31,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      75,     106,     137,     167,     197,     226,     255,     285,     315,     346,      -4,      28,      59,      91,     122,     153,     182,     212,     241,     270,     300,     330,      27,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,     361,  80.303, 173.159,  366
   -6000,     1869,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.545, 172.401,  365
   -6000,     1870,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.787, 172.643,  365
   -6000,     1871,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  80.030, 172.885,  365
   -6000,     1872,      32,      31,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      75,     106,     137,     167,     197,     226,     255,     285,     315,     346,      -4,      28,      59,      91,     122,     153,     182,     212,     241,     270,     300,     330,      27,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,     361,  80.272, 173.126,  366
   -6000,     1873,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.515, 172.368,  365
   -6000,     1874,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.758, 172.610,  365
   -6000,     1875,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  80.000, 172.851,  365
   -6000,     1876,      32,      31,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      75,     106,     137,     167,     197,     226,     255,     285,     315,     346,      -4,      28,      59,      91,     122,     153,     182,     212,     241,     270,     300,     330,      27,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,     361,  80.242, 173.094,  366
   -6000,     1877,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.485, 172.335,  365
   -6000,     1878,      32,      30,      32,      31,      31,      29,      30,      29,      29,      30,      30,      32,      12,      43,      74,     105,     136,     166,     196,     225,     254,     284,     314,     345,      -4,      28,      58,      90,     121,     152,     181,     211,     240,     269,     299,     329,      27,      57,      89,     120,     151,     180,     210,     239,     268,     298,     328,     360,  79.728, 172.577,  365
