   AgeBP,   YearCE, JanDays, FebDays, MarDays, AprDays, MayDays, JunDays, JulDays, AugDays, SepDays, OctDays, NovDays, DecDays, JanMid , FebMid , MarMid , AprMid , MayMid , JunMid , JulMid , AugMid , SepMid , OctMid , NovMid , DecMid , JanBeg , FebBeg , MarBeg , AprBeg , MayBeg , JunBeg , JulBeg , AugBeg , SepBeg , OctBeg , NovBeg , DecBeg , JanEnd , FebEnd , MarEnd , AprEnd , MayEnd , JunEnd , JulEnd , AugEnd , SepEnd , OctEnd , NovEnd , DecEnd , VE_day , SS_day , ndays
 -150000,  -148050,      33,      32,      31,      29,      28,      28,      27,      28,      29,      31,      32,      32,      11,      44,      75,     105,     134,     162,     189,     217,     245,     275,     307,     339,      -5,      28,      60,      91,     120,     148,     176,     203,     231,     260,     291,     323,      27,      59,      90,     119,     147,     175,     202,     230,     259,     290,     322,     354,  80.000, 170.500,  360
 -149000,  -147050,      33,      32,      31,      30,      29,      28,      27,      28,      29,      30,      31,      32,      11,      44,      75,     106,     135,     164,     191,     219,     247,     277,     307,     339,      -5,      28,      60,      91,     121,     150,     178,     205,     233,     262,     292,     323,      27,      59,      90,     120,     149,     177,     204,     232,     261,     291,     322,     354,  80.000, 170.500,  360
 -148000,  -146050,      33,      32,      31,      30,      29,      28,      27,      28,      29,      30,      31,      32,      10,      43,      74,     105,     134,     163,     190,     218,     246,     276,     306,     338,      -6,      27,      59,      90,     120,     149,     177,     204,     232,     261,     291,     322,      26,      58,      89,     119,     148,     176,     203,     231,     260,     290,     321,     353,  80.000, 170.500,  360
 -147000,  -145050,      32,      32,      32,      31,      29,      28,      28,      28,      28,      29,      31,      32,      10,      42,      74,     105,     135,     164,     192,     220,     248,     276,     306,     338,      -6,      26,      58,      90,     121,     150,     178,     206,     234,     262,     291,     322,      25,      57,      89,     120,     149,     177,     205,     233,     261,     290,     321,     353,  80.000, 170.500,  360
 -146000,  -144050,      32,      32,      32,      31,      30,      29,      28,      28,      28,      29,      30,      31,      11,      43,      75,     106,     137,     166,     195,     223,     251,     279,     309,     339,      -5,      27,      59,      91,     122,     152,     181,     209,     237,     265,     294,     324,      26,      58,      90,     121,     151,     180,     208,     236,     264,     293,     323,     354,  80.000, 170.500,  360
 -145000,  -143050,      32,      32,      32,      31,      30,      29,      28,      28,      28,      29,      30,      31,      11,      43,      75,     106,     137,     166,     195,     223,     251,     279,     309,     339,      -5,      27,      59,      91,     122,     152,     181,     209,     237,     265,     294,     324,      26,      58,      90,     121,     151,     180,     208,     236,     264,     293,     323,     354,  80.000, 170.500,  360
 -144000,  -142050,      31,      32,      32,      32,      31,      30,      29,      28,      28,      28,      29,      30,      11,      43,      75,     107,     138,     169,     198,     227,     255,     283,     311,     341,      -4,      27,      59,      91,     123,     154,     184,     213,     241,     269,     297,     326,      26,      58,      90,     122,     153,     183,     212,     240,     268,     296,     325,     355,  80.000, 170.500,  360
 -143000,  -141050,      31,      32,      32,      32,      31,      30,      29,      28,      28,      28,      29,      30,      12,      44,      76,     108,     139,     170,     199,     228,     256,     284,     312,     342,      -3,      28,      60,      92,     124,     155,     185,     214,     242,     270,     298,     327,      27,      59,      91,     123,     154,     184,     213,     241,     269,     297,     326,     356,  80.000, 170.500,  360
 -142000,  -140050,      30,      31,      32,      32,      31,      30,      30,      29,      28,      28,      29,      30,      13,      43,      75,     107,     138,     169,     199,     228,     257,     285,     313,     343,      -2,      28,      59,      91,     123,     154,     184,     214,     243,     271,     299,     328,      27,      58,      90,     122,     153,     183,     213,     242,     270,     298,     327,     357,  80.000, 170.500,  360
 -141000,  -139050,      30,      31,      31,      31,      31,      31,      30,      29,      29,      29,      29,      29,      14,      44,      75,     106,     137,     168,     199,     228,     257,     286,     315,     344,      -1,      29,      60,      91,     122,     153,     184,     214,     243,     272,     301,     330,      28,      59,      90,     121,     152,     183,     213,     242,     271,     300,     329,     358,  80.000, 170.500,  360
 -140000,  -138050,      30,      30,      31,      31,      31,      31,      30,      30,      29,      29,      29,      29,      15,      45,      75,     106,     137,     168,     199,     229,     258,     287,     316,     345,       0,      30,      60,      91,     122,     153,     184,     214,     244,     273,     302,     331,      29,      59,      90,     121,     152,     183,     213,     243,     272,     301,     330,     359,  80.000, 170.500,  360
 -139000,  -137050,      29,      30,      30,      31,      31,      31,      31,      30,      30,      29,      29,      29,      15,      45,      75,     105,     136,     167,     198,     229,     259,     288,     317,     346,       1,      30,      60,      90,     121,     152,     183,     214,     244,     274,     303,     332,      29,      59,      89,     120,     151,     182,     213,     243,     273,     302,     331,     360,  80.000, 170.500,  360
 -138000,  -136050,      29,      29,      30,      30,      31,      31,      31,      31,      30,      30,      29,      29,      16,      45,      75,     105,     135,     166,     197,     228,     259,     289,     318,     347,       2,      31,      60,      90,     120,     151,     182,     213,     244,     274,     304,     333,      30,      59,      89,     119,     150,     181,     212,     243,     273,     303,     332,     361,  80.000, 170.500,  360
 -137000,  -135050,      29,      29,      29,      30,      30,      31,      31,      31,      31,      30,      30,      29,      16,      45,      74,     104,     134,     164,     195,     226,     257,     288,     318,     347,       2,      31,      60,      89,     119,     149,     180,     211,     242,     273,     303,     333,      30,      59,      88,     118,     148,     179,     210,     241,     272,     302,     332,     361,  80.000, 170.500,  360
 -136000,  -134050,      29,      29,      29,      29,      30,      30,      31,      31,      31,      31,      30,      30,      17,      46,      75,     104,     134,     164,     194,     225,     256,     287,     318,     348,       3,      32,      61,      90,     119,     149,     179,     210,     241,     272,     303,     333,      31,      60,      89,     118,     148,     178,     209,     240,     271,     302,     332,     362,  80.000, 170.500,  360
 -135000,  -133050,      29,      29,      28,      29,      29,      30,      31,      31,      32,      31,      31,      30,      17,      46,      75,     103,     132,     162,     192,     223,     255,     286,     317,     348,       3,      32,      61,      89,     118,     147,     177,     208,     239,     271,     302,     333,      31,      60,      88,     117,     146,     176,     207,     238,     270,     301,     332,     362,  80.000, 170.500,  360
 -134000,  -132050,      30,      29,      28,      28,      29,      29,      30,      31,      32,      32,      31,      31,      17,      46,      75,     103,     131,     160,     190,     220,     252,     284,     315,     346,       2,      32,      61,      89,     117,     146,     175,     205,     236,     268,     300,     331,      31,      60,      88,     116,     145,     174,     204,     235,     267,     299,     330,     361,  80.000, 170.500,  360
 -133000,  -131050,      30,      29,      28,      28,      28,      29,      30,      31,      32,      32,      32,      31,      17,      46,      75,     103,     131,     159,     189,     219,     251,     283,     315,     346,       2,      32,      61,      89,     117,     145,     174,     204,     235,     267,     299,     331,      31,      60,      88,     116,     144,     173,     203,     234,     266,     298,     330,     361,  80.000, 170.500,  360
 -132000,  -130050,      31,      29,      28,      28,      28,      28,      29,      31,      32,      32,      32,      32,      16,      46,      75,     103,     131,     159,     187,     217,     249,     281,     313,     345,       1,      32,      61,      89,     117,     145,     173,     202,     233,     265,     297,     329,      31,      60,      88,     116,     144,     172,     201,     232,     264,     296,     328,     360,  80.000, 170.500,  360
 -131000,  -129050,      31,      30,      29,      28,      27,      28,      29,      30,      31,      32,      33,      32,      15,      46,      75,     104,     131,     159,     187,     217,     247,     279,     311,     344,       0,      31,      61,      90,     118,     145,     173,     202,     232,     263,     295,     328,      30,      60,      89,     117,     144,     172,     201,     231,     262,     294,     327,     359,  80.000, 170.500,  360
 -130000,  -128050,      32,      30,      29,      28,      27,      27,      28,      30,      31,      32,      33,      33,      15,      46,      75,     104,     131,     158,     186,     215,     245,     277,     309,     342,      -1,      31,      61,      90,     118,     145,     172,     200,     230,     261,     293,     326,      30,      60,      89,     117,     144,     171,     199,     229,     260,     292,     325,     358,  80.000, 170.500,  360
 -129000,  -127050,      32,      31,      29,      28,      27,      27,      28,      29,      31,      32,      33,      33,      13,      44,      74,     103,     130,     157,     185,     213,     243,     275,     307,     340,      -3,      29,      60,      89,     117,     144,     171,     199,     228,     259,     291,     324,      28,      59,      88,     116,     143,     170,     198,     227,     258,     290,     323,     356,  80.000, 170.500,  360
 -128000,  -126050,      33,      32,      30,      28,      27,      27,      27,      28,      30,      32,      33,      33,      12,      45,      76,     105,     132,     159,     186,     214,     243,     274,     306,     339,      -4,      29,      61,      91,     119,     146,     173,     200,     228,     258,     290,     323,      28,      60,      90,     118,     145,     172,     199,     227,     257,     289,     322,     355,  80.000, 170.500,  360
 -127000,  -125050,      33,      32,      31,      29,      28,      27,      27,      28,      29,      31,      32,      33,      10,      43,      74,     104,     133,     160,     187,     215,     243,     273,     305,     337,      -6,      27,      59,      90,     119,     147,     174,     201,     229,     258,     289,     321,      26,      58,      89,     118,     146,     173,     200,     228,     257,     288,     320,     353,  80.000, 170.500,  360
 -126000,  -124050,      33,      33,      31,      30,      28,      27,      27,      27,      29,      30,      32,      33,       9,      42,      74,     105,     134,     161,     188,     215,     243,     273,     304,     336,      -7,      26,      59,      90,     120,     148,     175,     202,     229,     258,     288,     320,      25,      58,      89,     119,     147,     174,     201,     228,     257,     287,     319,     352,  80.000, 170.500,  360
 -125000,  -123050,      33,      33,      32,      30,      29,      27,      27,      27,      28,      30,      31,      33,       9,      42,      75,     106,     135,     163,     190,     217,     245,     274,     304,     336,      -7,      26,      59,      91,     121,     150,     177,     204,     231,     259,     289,     320,      25,      58,      90,     120,     149,     176,     203,     230,     258,     288,     319,     352,  80.000, 170.500,  360
 -124000,  -122050,      33,      33,      32,      31,      29,      28,      27,      27,      28,      29,      31,      32,       8,      41,      74,     105,     135,     164,     191,     218,     246,     274,     304,     336,      -8,      25,      58,      90,     121,     150,     178,     205,     232,     260,     289,     320,      24,      57,      89,     120,     149,     177,     204,     231,     259,     288,     319,     351,  80.000, 170.500,  360
 -123000,  -121050,      33,      33,      33,      31,      30,      28,      27,      27,      27,      29,      30,      32,       9,      42,      75,     107,     138,     167,     194,     221,     248,     276,     306,     337,      -7,      26,      59,      92,     123,     153,     181,     208,     235,     262,     291,     321,      25,      58,      91,     122,     152,     180,     207,     234,     261,     290,     320,     352,  80.000, 170.500,  360
 -122000,  -120050,      32,      33,      33,      32,      31,      29,      28,      27,      27,      28,      29,      31,      10,      42,      75,     108,     139,     169,     198,     225,     252,     280,     308,     338,      -6,      26,      59,      92,     124,     155,     184,     212,     239,     266,     294,     323,      25,      58,      91,     123,     154,     183,     211,     238,     265,     293,     322,     353,  80.000, 170.500,  360
 -121000,  -119050,      32,      32,      33,      32,      31,      30,      28,      28,      27,      28,      29,      30,      11,      43,      75,     108,     139,     170,     199,     227,     254,     282,     310,     340,      -5,      27,      59,      92,     124,     155,     185,     213,     241,     268,     296,     325,      26,      58,      91,     123,     154,     184,     212,     240,     267,     295,     324,     354,  80.000, 170.500,  360
 -120000,  -118050,      31,      32,      32,      32,      31,      30,      29,      28,      28,      28,      29,      30,      11,      43,      75,     107,     138,     169,     198,     227,     255,     283,     311,     341,      -4,      27,      59,      91,     123,     154,     184,     213,     241,     269,     297,     326,      26,      58,      90,     122,     153,     183,     212,     240,     268,     296,     325,     355,  80.000, 170.500,  360
 -119000,  -117050,      30,      31,      32,      32,      32,      31,      30,      29,      28,      28,      28,      29,      13,      43,      75,     107,     139,     170,     201,     230,     259,     287,     315,     343,      -2,      28,      59,      91,     123,     155,     186,     216,     245,     273,     301,     329,      27,      58,      90,     122,     154,     185,     215,     244,     272,     300,     328,     357,  80.000, 170.500,  360
 -118000,  -116050,      30,      30,      31,      32,      32,      31,      30,      30,      29,      28,      28,      29,      15,      45,      75,     107,     139,     170,     201,     231,     260,     289,     317,     345,       0,      30,      60,      91,     123,     155,     186,     216,     246,     275,     303,     331,      29,      59,      90,     122,     154,     185,     215,     245,     274,     302,     330,     359,  80.000, 170.500,  360
 -117000,  -115050,      29,      30,      31,      31,      32,      31,      31,      30,      29,      29,      28,      29,      14,      44,      74,     105,     137,     168,     199,     230,     259,     288,     317,     345,       0,      29,      59,      90,     121,     153,     184,     215,     245,     274,     303,     331,      28,      58,      89,     120,     152,     183,     214,     244,     273,     302,     330,     359,  80.000, 170.500,  360
 -116000,  -114050,      29,      29,      30,      31,      31,      31,      31,      31,      30,      29,      29,      29,      16,      45,      75,     105,     136,     167,     198,     229,     260,     289,     318,     347,       2,      31,      60,      90,     121,     152,     183,     214,     245,     275,     304,     333,      30,      59,      89,     120,     151,     182,     213,     244,     274,     303,     332,     361,  80.000, 170.500,  360
 -115000,  -113050,      29,      29,      29,      30,      31,      31,      31,      31,      31,      30,      29,      29,      17,      46,      75,     105,     135,     166,     197,     228,     259,     290,     319,     348,       3,      32,      61,      90,     120,     151,     182,     213,     244,     275,     305,     334,      31,      60,      89,     119,     150,     181,     212,     243,     274,     304,     333,     362,  80.000, 170.500,  360
 -114000,  -112050,      29,      28,      29,      29,      30,      31,      31,      32,      31,      31,      30,      29,      17,      46,      74,     103,     133,     163,     194,     226,     257,     288,     319,     348,       3,      32,      60,      89,     118,     148,     179,     210,     242,     273,     304,     334,      31,      59,      88,     117,     147,     178,     209,     241,     272,     303,     333,     362,  80.000, 170.500,  360
 -113000,  -111050,      29,      28,      28,      29,      29,      30,      31,      32,      32,      31,      31,      30,      17,      46,      74,     102,     131,     161,     191,     223,     255,     286,     317,     348,       3,      32,      60,      88,     117,     146,     176,     207,     239,     271,     302,     333,      31,      59,      87,     116,     145,     175,     206,     238,     270,     301,     332,     362,  80.000, 170.500,  360
 -112000,  -110050,      29,      28,      28,      28,      29,      30,      31,      32,      32,      32,      31,      30,      17,      46,      74,     102,     130,     160,     190,     222,     254,     286,     317,     348,       3,      32,      60,      88,     116,     145,     175,     206,     238,     270,     302,     333,      31,      59,      87,     115,     144,     174,     205,     237,     269,     301,     332,     362,  80.000, 170.500,  360
 -111000,  -109050,      30,      29,      28,      28,      28,      29,      30,      31,      32,      32,      32,      31,      17,      46,      75,     103,     131,     159,     189,     219,     251,     283,     315,     346,       2,      32,      61,      89,     117,     145,     174,     204,     235,     267,     299,     331,      31,      60,      88,     116,     144,     173,     203,     234,     266,     298,     330,     361,  80.000, 170.500,  360
 -110000,  -108050,      30,      29,      28,      27,      28,      28,      29,      31,      32,      33,      33,      32,      16,      45,      74,     101,     129,     157,     185,     215,     247,     279,     312,     345,       1,      31,      60,      88,     115,     143,     171,     200,     231,     263,     296,     329,      30,      59,      87,     114,     142,     170,     199,     230,     262,     295,     328,     360,  80.000, 170.500,  360
 -109000,  -107050,      31,      30,      28,      27,      27,      28,      29,      30,      32,      33,      33,      32,      15,      46,      75,     102,     129,     157,     185,     215,     246,     278,     311,     344,       0,      31,      61,      89,     116,     143,     171,     200,     230,     262,     295,     328,      30,      60,      88,     115,     142,     170,     199,     229,     261,     294,     327,     359,  80.000, 170.500,  360
 -108000,  -106050,      32,      30,      29,      28,      27,      27,      28,      29,      31,      33,      33,      33,      15,      46,      75,     104,     131,     158,     186,     214,     244,     276,     309,     342,      -1,      31,      61,      90,     118,     145,     172,     200,     229,     260,     293,     326,      30,      60,      89,     117,     144,     171,     199,     228,     259,     292,     325,     358,  80.000, 170.500,  360
 -107000,  -105050,      33,      31,      29,      28,      27,      27,      28,      29,      30,      32,      33,      33,      13,      45,      75,     104,     131,     158,     186,     214,     244,     275,     307,     340,      -3,      30,      61,      90,     118,     145,     172,     200,     229,     259,     291,     324,      29,      60,      89,     117,     144,     171,     199,     228,     258,     290,     323,     356,  80.000, 170.500,  360
 -106000,  -104050,      33,      32,      30,      28,      27,      27,      27,      28,      30,      32,      33,      33,      12,      45,      76,     105,     132,     159,     186,     214,     243,     274,     306,     339,      -4,      29,      61,      91,     119,     146,     173,     200,     228,     258,     290,     323,      28,      60,      90,     118,     145,     172,     199,     227,     257,     289,     322,     355,  80.000, 170.500,  360
