   AgeBP,   YearCE, JanDays     , FebDays     , MarDays     , AprDays     , MayDays     , JunDays     , JulDays     , AugDays     , SepDays     , OctDays     , NovDays     , DecDays     , JanMid      , FebMid      , MarMid      , AprMid      , MayMid      , JunMid      , JulMid      , AugMid      , SepMid      , OctMid      , NovMid      , DecMid      , JanBeg      , FebBeg      , MarBeg      , AprBeg      , MayBeg      , JunBeg      , JulBeg      , AugBeg      , SepBeg      , OctBeg      , NovBeg      , DecBeg      , JanEnd      , FebEnd      , MarEnd      , AprEnd      , MayEnd      , JunEnd      , JulEnd      , AugEnd      , SepEnd      , OctEnd      , NovEnd      , DecEnd      , VE_day , SS_day , ndays
 -150000,  -148050,  32.56696574,  31.86548436,  30.66405630,  29.32461887,  28.20473493,  27.56596166,  27.54224952,  28.13857340,  29.23086263,  30.56620770,  31.79113088,  32.53915401,  11.29775148,  43.57371444,  74.90052879, 104.93101835, 133.67107445, 161.46400645, 188.89395566, 216.63664549, 245.29014734, 275.22133552, 306.46261315, 338.68935063,  -5.00968553,  27.52047961,  59.38526213,  90.08599505, 119.44800109, 147.65349971, 175.18229624, 202.68504474, 230.81966109, 260.08544120, 290.69053585, 322.48561056,  27.52047961,  59.38526213,  90.08599505, 119.44800109, 147.65349971, 175.18229624, 202.68504474, 230.81966109, 260.08544120, 290.69053585, 322.48561056, 354.99031447,  80.000, 170.500,  360
 -149000,  -147050,  32.65516002,  32.16422931,  31.07541875,  29.72797675,  28.49883159,  27.68817375,  27.46979597,  27.88566224,  28.84956563,  30.14714691,  31.45122807,  32.38681101,  10.66815599,  43.14060703,  74.83103808, 105.28319651, 134.38816685, 162.40061076, 189.85660194, 217.42715417, 245.74820682, 275.26456086, 306.11660751, 338.09264784,  -5.65262171,  26.96279768,  59.11927163,  90.22758264, 119.99613343, 148.50254442, 176.15741056, 203.58501206, 231.45999368, 260.34012917, 290.52858957, 321.99071121,  26.96279768,  59.11927163,  90.22758264, 119.99613343, 148.50254442, 176.15741056, 203.58501206, 231.45999368, 260.34012917, 290.52858957, 321.99071121, 354.34737829,  80.000, 170.500,  360
 -148000,  -146050,  32.62396989,  32.37451820,  31.45532111,  30.15954018,  28.86594224,  27.90686330,  27.49620142,  27.71423857,  28.51324612,  29.72034861,  31.04531923,  32.12449114,  10.21331408,  42.77484570,  74.76622378, 105.63757193, 135.15962885, 163.47988493, 191.06388244, 218.55604154, 246.60970944, 275.72973138, 306.15402339, 337.78870651,  -6.06061643,  26.52239593,  58.88219925,  90.36500308, 120.56669343, 149.44698311, 177.32586951, 204.77882679, 232.47603438, 261.01424699, 290.77660184, 321.83932608,  26.52239593,  58.88219925,  90.36500308, 120.56669343, 149.44698311, 177.32586951, 204.77882679, 232.47603438, 261.01424699, 290.77660184, 321.83932608, 353.93938357,  80.000, 170.500,  360
 -147000,  -145050,  32.46820224,  32.47253658,  31.77156267,  30.59055193,  29.28781166,  28.21590627,  27.62648450,  27.63923138,  28.24544548,  29.31475560,  30.60049343,  31.76701827,   9.98266654,  42.51098269,  74.71152219, 105.96779790, 135.93465439, 164.63846132, 192.45201485, 219.96996230, 247.84118821, 276.61038930, 306.59728995, 337.82174262,  -6.18433697,  26.24362968,  58.69514070,  90.48740004, 121.11977088, 150.42815883, 178.62265220, 206.20665510, 233.82329783, 262.08717692, 291.44281151, 322.06631555,  26.24362968,  58.69514070,  90.48740004, 121.11977088, 150.42815883, 178.62265220, 206.20665510, 233.82329783, 262.08717692, 291.44281151, 322.06631555, 353.81566303,  80.000, 170.500,  360
 -146000,  -144050,  32.19370024,  32.44239588,  31.99328887,  30.98780666,  29.73916602,  28.60225322,  27.85983511,  27.67086674,  28.06636849,  28.95859305,  30.14764125,  31.33808447,  10.01053989,  42.37850115,  74.67221846, 106.24566864, 136.65446550, 165.79770746, 193.93541537, 221.58844352, 249.37796097, 277.86670877, 307.43689982, 338.21047046,  -5.99504501,  26.16114512,  58.57742085,  90.58366371, 121.61087584, 151.37578065, 179.96405662, 207.78405046, 235.42795380, 263.50568135, 292.50223790, 322.67717871,  26.16114512,  58.57742085,  90.58366371, 121.61087584, 151.37578065, 179.96405662, 207.78405046, 235.42795380, 263.50568135, 292.50223790, 322.67717871, 354.00495499,  80.000, 170.500,  360
 -145000,  -143050,  31.81744754,  32.27906783,  32.09497122,  31.31638925,  30.18846233,  29.04538453,  28.18868235,  27.81371182,  27.99166610,  28.67741290,  29.71877049,  30.86803366,  10.31019371,  42.39741868,  74.65277308, 106.44404389, 137.25701832, 166.86843498, 195.41057331, 223.30679118, 251.12598478, 279.42579548, 308.62933197, 338.94339095,  -5.49022208,  26.29433609,  58.54391669,  90.64371687, 121.99501581, 152.21279968, 181.25203790, 209.40534257, 237.18923822, 265.18507406, 293.89588863, 323.64460591,  26.29433609,  58.54391669,  90.64371687, 121.99501581, 152.21279968, 181.25203790, 209.40534257, 237.18923822, 265.18507406, 293.89588863, 323.64460591, 354.50977792,  80.000, 170.500,  360
 -144000,  -142050,  31.36603586,  31.98991247,  32.06031913,  31.54347617,  30.59979958,  29.51740269,  28.59794374,  28.06579140,  28.03145145,  28.49252820,  29.34445026,  30.39088906,  10.87037770,  42.57471302,  74.65614232, 106.54034497, 137.68351870, 167.75836380, 196.76306290, 225.00221894, 252.96706776, 281.18567969, 310.09899519, 339.97784416,  -4.69593993,  26.64344172,  58.60261261,  90.65993247, 122.23195153, 152.86263909, 182.38155302, 210.95021919, 238.98513173, 267.01389469, 295.53385561, 324.90903740,  26.64344172,  58.60261261,  90.65993247, 122.23195153, 152.86263909, 182.38155302, 210.95021919, 238.98513173, 267.01389469, 295.53385561, 324.90903740, 355.30406007,  80.000, 170.500,  360
 -143000,  -141050,  30.87283522,  31.59436530,  31.88524134,  31.64268419,  30.93608110,  29.98408273,  29.06466201,  28.41779508,  28.18947594,  28.41985708,  29.05170438,  29.94121564,  11.65530892,  42.90246601,  74.68324558, 106.51998591, 137.88590658, 168.38176121, 197.87740436, 226.54301917, 254.76721133, 283.02272406, 311.74406798, 341.24318839,  -3.66530928,  27.18829137,  58.75297496,  90.62839193, 122.29181098, 153.25803810, 183.25049515, 212.29329192, 240.68111405, 268.86182212, 297.30205890, 326.38330930,  27.18829137,  58.75297496,  90.62839193, 122.29181098, 153.25803810, 183.25049515, 212.29329192, 240.68111405, 268.86182212, 297.30205890, 326.38330930, 356.33469072,  80.000, 170.500,  360
 -142000,  -140050,  30.37450563,  31.12183349,  31.57909941,  31.59813301,  31.16319831,  30.40713565,  29.55832092,  28.85247509,  28.46239443,  28.46908509,  28.86248128,  29.55133768,  12.60815029,  43.35824006,  74.73271712, 106.37896416, 137.83395121, 168.66995729, 198.64879987, 227.80000789, 256.38731462, 284.80157216, 313.44534976, 342.64754128,  -2.47326836,  27.89006923,  58.98558189,  90.54967684, 122.15991187, 153.35011671, 183.77107834, 213.31580129, 242.14124801, 270.59000806, 299.07173110, 327.96061072,  27.89006923,  58.98558189,  90.54967684, 122.15991187, 153.35011671, 183.77107834, 213.31580129, 242.14124801, 270.59000806, 299.07173110, 327.96061072, 357.52673164,  80.000, 170.500,  360
 -141000,  -139050,  29.90755233,  30.60831896,  31.16390767,  31.40728241,  31.25462227,  30.74773019,  30.04216383,  29.34444202,  28.83910785,  28.64300692,  28.79264607,  29.24921948,  13.65720329,  43.90761155,  74.80101159, 106.12494833, 137.52040754, 168.58090782, 198.99516428, 228.65896216, 257.69505167, 286.38635150, 315.07670935, 344.08676636,  -1.20881692,  28.69568714,  59.28312066,  90.42898120, 121.83964196, 153.11588136, 183.88093265, 213.91804832, 243.24038726, 272.06260943, 300.71028211, 329.52434029,  28.69568714,  59.28312066,  90.42898120, 121.83964196, 153.11588136, 183.88093265, 213.91804832, 243.24038726, 272.06260943, 300.71028211, 329.52434029, 358.79118308,  80.000, 170.500,  360
