   AgeBP,   YearCE, JanDays     , FebDays     , MarDays     , AprDays     , MayDays     , JunDays     , JulDays     , AugDays     , SepDays     , OctDays     , NovDays     , DecDays     , JanMid      , FebMid      , MarMid      , AprMid      , MayMid      , JunMid      , JulMid      , AugMid      , SepMid      , OctMid      , NovMid      , DecMid      , JanBeg      , FebBeg      , MarBeg      , AprBeg      , MayBeg      , JunBeg      , JulBeg      , AugBeg      , SepBeg      , OctBeg      , NovBeg      , DecBeg      , JanEnd      , FebEnd      , MarEnd      , AprEnd      , MayEnd      , JunEnd      , JulEnd      , AugEnd      , SepEnd      , OctEnd      , NovEnd      , DecEnd      , VE_day , SS_day , ndays
 -150000,  -148050,  33.63997403,  29.74473478,  31.72798805,  29.36024490,  29.16950740,  27.57307725,  28.45549378,  29.07692405,  29.23351257,  31.59179311,  31.79979038,  33.62695969,  11.82321102,  43.55303157,  74.37655254, 104.94778085, 134.19852443, 162.47149271, 190.35948656, 219.02136142, 248.15357130, 278.58865166, 310.35835943, 343.12870887,  -5.02549896,  28.57717582,  58.32109130,  90.08624092, 119.48446157, 148.65595994, 176.19237734, 204.60673356, 233.67959151, 262.94807887, 294.57996463, 326.38333021,  28.57717582,  58.32109130,  90.08624092, 119.48446157, 148.65595994, 176.19237734, 204.60673356, 233.67959151, 262.94807887, 294.57996463, 326.38333021, 359.97450104,  80.500, 173.000,  365
 -149000,  -147050,  33.73838978,  30.02407986,  32.15115565,  29.76547501,  29.47710270,  27.69955573,  28.38458289,  28.81575258,  28.85190599,  31.15906220,  31.46084466,  33.47209296,  11.18757742,  43.11377192,  74.29332536, 105.29322028, 134.91779276, 163.41817067, 191.33697342, 219.82297071, 248.61709046, 278.63033077, 310.00489721, 342.52213202,  -5.67799623,  28.01984552,  58.03649659,  90.22070952, 120.02716939, 149.51328826, 177.18016899, 205.52096021, 234.32570350, 263.20824572, 294.40993934, 325.88132198,  28.01984552,  58.03649659,  90.22070952, 120.02716939, 149.51328826, 177.18016899, 205.52096021, 234.32570350, 263.20824572, 294.40993934, 325.88132198, 359.32200377,  80.500, 173.000,  365
 -148000,  -146050,  33.71388731,  30.22067856,  32.53985951,  30.19741085,  29.85921015,  27.92224747,  28.41594472,  28.63876661,  28.51519051,  30.71802660,  31.05544918,  33.20332852,  10.72553789,  42.74283515,  74.21590016, 105.64014128, 135.69031603, 164.50726009, 192.56047229, 220.96762011, 249.48975875, 279.09976744, 310.03965238, 342.21120969,  -6.09472878,  27.57711229,  57.78384810,  90.35101372, 120.59078070, 150.46593358, 178.36094354, 206.73215100, 235.35334968, 263.89357940, 294.65498681, 325.72751406,  27.57711229,  57.78384810,  90.35101372, 120.59078070, 150.46593358, 178.36094354, 206.73215100, 235.35334968, 263.89357940, 294.65498681, 325.72751406, 358.90527122,  80.500, 173.000,  365
 -147000,  -145050,  33.56045549,  30.31224617,  32.86091681,  30.62706614,  30.29665713,  28.23476496,  28.55455015,  28.56138606,  28.24692824,  30.29859447,  30.61065156,  32.83578281,  10.48705925,  42.47526436,  74.15079459, 105.96266359, 136.46506564, 165.67465964, 193.96521269, 222.40121627, 250.73769995, 279.99056274, 310.48557838, 342.24092873,  -6.22557300,  27.29332925,  57.58573462,  90.46683323, 121.13570459, 151.45462347, 179.66879253, 208.17953475, 236.71761207, 264.98304984, 295.32389383, 325.95727156,  27.29332925,  57.58573462,  90.46683323, 121.13570459, 151.45462347, 179.66879253, 208.17953475, 236.71761207, 264.98304984, 295.32389383, 325.95727156, 358.77442700,  80.500, 173.000,  365
 -146000,  -144050,  33.28346328,  30.28392096,  33.08275416,  31.02112378,  30.76304917,  28.62377535,  28.79932302,  28.59417078,  28.06734741,  29.92995429,  30.15734089,  32.39377691,  10.50711863,  42.34095939,  74.10432375, 106.23314659, 137.18311268, 166.84095217, 195.46443807, 224.04216367, 252.29538142, 281.26248276, 311.33327887, 342.63051497,  -6.04106968,  27.20341184,  57.46274096,  90.55762815, 121.61792535, 152.40840601, 181.01906151, 209.77743998, 238.34378219, 266.42256437, 296.39178691, 326.57619650,  27.20341184,  57.46274096,  90.55762815, 121.61792535, 152.40840601, 181.01906151, 209.77743998, 238.34378219, 266.42256437, 296.39178691, 326.57619650, 358.95893032,  80.500, 173.000,  365
 -145000,  -143050,  32.89985981,  30.13101361,  33.17952237,  31.34472887,  31.22559225,  29.06847238,  29.14217957,  28.74183234,  27.99212460,  29.63854945,  29.72755935,  31.90856539,  10.79967099,  42.36021800,  74.08179096, 106.42507397, 137.78237925, 167.91619208, 196.95335355, 225.78431189, 254.06749144, 282.84175246, 312.53888038, 343.36863208,  -5.53815380,  27.32728299,  57.43057861,  90.61386421, 121.99307258, 153.24959405, 182.31277402, 211.41874084, 240.12979603, 268.12616240, 297.79929350, 327.55662999,  27.32728299,  57.43057861,  90.61386421, 121.99307258, 153.24959405, 182.31277402, 211.41874084, 240.12979603, 268.12616240, 297.79929350, 327.55662999, 359.46184620,  80.500, 173.000,  365
 -144000,  -142050,  32.43667154,  29.86043600,  33.13509375,  31.56532797,  31.64712301,  29.54069824,  29.56726190,  29.00232117,  28.03140068,  29.44645510,  29.35193850,  31.41527215,  11.35411106,  42.54011113,  74.08667608, 106.51648708, 138.20419377, 168.80747119, 198.31625074, 227.50316999, 255.93422115, 284.62509610, 314.02598269, 344.41238889,  -4.74261030,  27.66591255,  57.49748785,  90.62835883, 122.22164118, 153.90108104, 183.44409266, 212.98153939, 241.95198310, 269.98076028, 299.45565059, 328.83821586,  27.66591255,  57.49748785,  90.62835883, 122.22164118, 153.90108104, 183.44409266, 212.98153939, 241.95198310, 269.98076028, 299.45565059, 328.83821586, 360.25738970,  80.500, 173.000,  365
 -143000,  -141050,  31.92812738,  29.49040179,  32.94603269,  31.65702118,  31.98942658,  30.00603637,  30.05058225,  29.36600799,  28.18895715,  29.37017911,  29.05758368,  30.94964383,  12.13516336,  42.87260135,  74.12000467, 106.49333730, 138.40079527, 169.42866733, 199.43651399, 229.06520527, 257.75972078, 286.48724228, 315.69156329, 345.69052910,  -3.70756823,  28.19997017,  57.66253782,  90.59747009, 122.27453677, 154.29527370, 184.31038571, 214.33887176, 243.67393471, 271.85417885, 301.24551925, 330.33260870,  28.19997017,  57.66253782,  90.59747009, 122.27453677, 154.29527370, 184.31038571, 214.33887176, 243.67393471, 271.85417885, 301.24551925, 330.33260870, 361.29243177,  80.500, 173.000,  365
 -142000,  -140050,  31.41206326,  29.04844784,  32.62277618,  31.60458226,  32.21758706,  30.42612498,  30.56038162,  29.81506329,  28.46148137,  29.41979367,  28.86653649,  30.54516199,  13.08630252,  43.33492557,  74.18006147, 106.35199599, 138.34241632, 169.71105266, 200.20851360, 230.33944749, 259.40295094, 288.29100630, 317.41493970, 347.11023641,  -2.50828467,  28.89148775,  57.91528155,  90.52183790, 122.13780221, 154.38322786, 184.82373388, 215.37057911, 245.15773492, 273.60562388, 303.03858486, 331.93153956,  28.89148775,  57.91528155,  90.52183790, 122.13780221, 154.38322786, 184.82373388, 215.37057911, 245.15773492, 273.60562388, 303.03858486, 331.93153956, 362.49171533,  80.500, 173.000,  365
 -141000,  -139050,  30.92633686,  28.56826482,  32.18869685,  31.40621029,  32.30472002,  30.76222512,  31.05853555,  30.32324859,  28.83790837,  29.59825418,  28.79476214,  30.23083721,  14.13592784,  43.89216521,  74.26252837, 106.10027802, 138.02238987, 169.61290622, 200.54977742, 231.21009910, 260.72972319, 289.89864557, 319.06835540, 348.56622382,  -1.23432840,  29.68814327,  58.23687253,  90.40647744, 121.81539135, 154.14218722, 184.92210548, 215.97590820, 246.27633225, 275.09738191, 304.70056204, 333.51680803,  29.68814327,  58.23687253,  90.40647744, 121.81539135, 154.14218722, 184.92210548, 215.97590820, 246.27633225, 275.09738191, 304.70056204, 333.51680803, 363.76567160,  80.500, 173.000,  365
